feature,importance_mean
n_distinct_ctx_seq,0.14467099952591145
last_ctx_seq,0.06619293907162509
last_event_type,0.03354509020941121
browsed_price_std,0.03348338560244483
lead_source,0.021757694623080748
seller_page_views_7d,0.019449896089283342
seller_page_views_14d,0.015489062237589057
search_views_90d,0.013212354132607832
seller_page_views_30d,0.012650401685036136
photo_swipes_90d,0.008610748782384844
hours_since_last_event,0.007428700526164104
min_src_slot,0.00725241290600039
detail_expands_90d,0.007158708871269015
activity_acceleration,0.006322057243024075
mean_gap_hours,0.006181375005900547
query_refinements_90d,0.0052945434126716595
similar_item_clicks_90d,0.004305256949127904
call_center,0.0037601111401631324
total_events_all_time,0.0034961636575530828
user_contacts_90d,0.0032995107854962478
user_contacts_30d,0.0029581607878040503
item_views_14d,0.0027973502362057903
item_views_3d,0.0016623855546104387
evt_count_search,0.0015786480552320385
hours_since_first_event,0.0015394334213203464
search_views_3d,0.0014773268700789173
chat_opens_90d,0.0013164796982418532
item_views_90d,0.0011833932067557933
photo_swipes_30d,0.001107215814994067
item_favorites_90d,0.0011068115418640945
evt_count_favorite,0.0009917229026859358
search_views_30d,0.0009836771108511593
user_contacts_7d,0.0009665483142217898
similar_item_clicks_14d,0.0009404619637254363
min_gap_hours,0.000877831649512976
avg_src_slot,0.0008292834114704458
item_favorites_30d,0.0007690076530704193
lead_channel,0.0007596103840940746
detail_expands_30d,0.000729519990024019
call_clicks_14d,0.0006758109420563393
item_price_log,0.0006265773266241151
item_favorites_3d,0.0006125113140744339
call_clicks_7d,0.0005785397087881838
photo_swipes_3d,0.0005746734870509437
prior_assignments_30d,0.0004807100876347281
call_clicks_90d,0.0004401611540063947
search_views_7d,0.0004389321537649297
saved_search_matches_90d,0.000436859003496141
seller_page_views_90d,0.0004272102077493474
saved_search_matches_30d,0.0004138435798305788
item_favorites_7d,0.00041037436546897954
leadgen_prev_assigned_30d,0.00038577726090945524
car_segment,0.00038166631025338127
photo_swipes_7d,0.0003250932922446899
query_refinements_30d,0.0003207675323894839
detail_expands_7d,0.00031344072139338763
region,0.0003067627027426208
leadgen_prev_positive_30d,0.0003053262754753409
evt_count_item_view,0.00028643805441023556
price_bucket,0.00023845684780632315
user_tenure_bucket,0.00022718025477030945
item_views_1d,0.00019787434691213393
chat_opens_30d,0.00019106958532555396
n_distinct_event_types,0.00018415273836377052
leadgen_prev_answered_14d,0.00018117690594291838
item_views_30d,0.00017660097827739327
evt_count_call_click,0.00014349382868639182
saved_search_matches_14d,0.00013739003750782666
leadgen_prev_answered_90d,0.00013585376696467755
leadgen_prev_positive_14d,0.00012665472796535848
leadgen_prev_positive_90d,0.00011882292859273964
event_history_span_hours,0.00011721295015165722
detail_expands_14d,0.00011660553408217773
seller_page_views_3d,0.00010796433414332156
chat_opens_1d,9.413934430002602e-05
call_clicks_3d,7.165051571766945e-05
item_favorites_14d,6.639402635821856e-05
user_contacts_3d,6.150894563938802e-05
user_active_days_30d,5.825137979679577e-05
leadgen_prev_answered_7d,5.732575055779806e-05
photo_swipes_14d,5.438473555371045e-05
leadgen_prev_answered_1d,4.570602389634507e-05
similar_item_clicks_3d,4.482654145291735e-05
query_refinements_7d,4.0578567048236515e-05
chat_opens_14d,2.6055645200936024e-05
seller_page_views_1d,2.2124456947122024e-05
leadgen_prev_assigned_90d,1.6388056559013542e-05
leadgen_prev_answered_3d,1.3429560173250366e-05
search_views_1d,8.624445968089903e-06
query_refinements_1d,8.579418181997589e-06
assignment_weekday,8.114708818451888e-06
leadgen_prev_positive_3d,3.309118435749584e-06
is_weekend,0.0
leadgen_prev_assigned_1d,0.0
active_days_auto_1d,-6.456403217465952e-06
leadgen_prev_positive_7d,-1.1172229010740034e-05
saved_search_matches_1d,-1.5949811958663556e-05
chat_opens_3d,-2.3267451409236806e-05
evt_count_chat_open,-4.271970324898344e-05
chat_opens_7d,-4.464566421010415e-05
leadgen_prev_answered_30d,-4.495573279369077e-05
saved_search_matches_7d,-4.831492541290672e-05
call_clicks_1d,-6.636302635946538e-05
detail_expands_3d,-7.406886156443211e-05
leadgen_prev_positive_1d,-7.663959778185052e-05
similar_item_clicks_1d,-0.00011270854472167358
detail_expands_1d,-0.00011858657322357431
leadgen_prev_assigned_14d,-0.00011988696875164795
photo_swipes_1d,-0.00012019944260762323
saved_search_matches_3d,-0.0001340197669414215
similar_item_clicks_7d,-0.00014958629214049482
browsed_price_mean,-0.00015489054195827467
leadgen_prev_assigned_7d,-0.000168834289165772
assignment_hour,-0.0001765156851584552
item_favorites_1d,-0.00018223775294560576
query_refinements_3d,-0.00019058038770880525
active_days_auto_7d,-0.00019358770102340106
call_clicks_30d,-0.0001948949653098516
query_refinements_14d,-0.0002461377902301572
item_views_7d,-0.00024758720555166186
leadgen_prev_assigned_3d,-0.00026832171721576553
search_views_14d,-0.0003100034597869339
user_contacts_1d,-0.0005362188294508371
similar_item_clicks_30d,-0.0005829388906941254
active_days_auto_14d,-0.0005855973758093214
seller_response_rate_30d,-0.0006505247000174741
mileage_km_log,-0.0007208473537196521
user_contacts_14d,-0.0007973908347846578
car_age_years,-0.0008171473090103539
seller_inventory_count,-0.0009822329613070984
active_days_auto_3d,-0.001387048493677508
user_age_days,-0.001446038909720171
active_days_auto_90d,-0.00230733950951408
active_days_auto_30d,-0.002882994134838094
